name	x	y	z	material
T9	0.084	-0.00819698	-0.0160564	Ag/AgCl
FT9	0.081	-0.0151789	0.00930599	Ag/AgCl
FTT9h	0.083	-0.0118808	0.032845799999999994	Ag/AgCl
T7	0.085	0.00350059	0.0477257	Ag/AgCl
TP7	0.081	0.0305506	0.0488637	Ag/AgCl
TTP7h	0.083	0.022160799999999998	0.0690283	Ag/AgCl
C5	0.085	-0.00149474	0.0733196	Ag/AgCl
FTT7h	0.083	-0.0224212	0.0628275	Ag/AgCl
Ft7	0.079	-0.034128399999999996	0.042335	Ag/AgCl
FFT7h	0.075	-0.0518242	0.0473207	Ag/AgCl
FC5	0.077	-0.03935520000000001	0.06991549999999999	Ag/AgCl
FCC5h	0.08	-0.018939900000000003	0.093436	Ag/AgCl
CCP5h	0.083	0.00787875	0.09656050000000001	Ag/AgCl
TPP5h	0.079	0.0332219	0.0864251	Ag/AgCl
P7	0.077	0.0449388	0.0636279	Ag/AgCl
P9	0.075	0.0491723	0.0359317	Ag/AgCl
P11	0.071	0.0522968	0.00911312	Ag/AgCl
PO11	0.062	0.0674949	0.0169244	Ag/AgCl
PO9	0.064	0.06647270000000001	0.0429811	Ag/AgCl
PPO7	0.066	0.0635797	0.06781319999999999	Ag/AgCl
P5	0.068	0.0547269	0.0919509	Ag/AgCl
CPP5h	0.069	0.0396155	0.109319	Ag/AgCl
CP3	0.073	0.0133948	0.118345	Ag/AgCl
C3	0.073	-0.011437200000000002	0.115452	Ag/AgCl
FC3	0.071	-0.0353435	0.104613	Ag/AgCl
FFC5h	0.064	-0.0590183	0.0917869	Ag/AgCl
F5	0.065	-0.0689222	0.0644572	Ag/AgCl
F7	0.067	-0.06912470000000001	0.040271299999999996	Ag/AgCl
AF7	0.05	-0.09190269999999999	0.0456717	Ag/AgCl
AFF5h	0.049	-0.08948210000000001	0.06810250000000001	Ag/AgCl
F3	0.05	-0.0792311	0.09245229999999999	Ag/AgCl
FFC3h	0.051	-0.059577599999999994	0.113871	Ag/AgCl
FCC3h	0.053	-0.037773600000000004	0.125472	Ag/AgCl
C1	0.054	-0.012874100000000001	0.136427	Ag/AgCl
CCP3h	0.053	0.0126041	0.14241499999999999	Ag/AgCl
CPP3h	0.051	0.0373686	0.137246	Ag/AgCl
P3	0.049	0.0573307	0.12145	Ag/AgCl
PO3	0.048	0.0720274	0.0990003	Ag/AgCl
POO7	0.049	0.0798868	0.07474689999999999	Ag/AgCl
POO9h	0.046	0.083426	0.0530104	Ag/AgCl
POO11h	0.046	0.08421680000000001	0.0289402	Ag/AgCl
I1	0.024	0.0946318	0.0432415	Ag/AgCl
OI1	0.026	0.093841	0.0673117	Ag/AgCl
